Year,City,Type,total_volume,sum_price_x_volume,avg_price
2019,Albany,conventional,5574380,7011417.01,1.2577931554719985
2019,Albany,organic,143287,246284.11,1.718816850098055
2019,Atlanta,conventional,32968661,36548594.64,1.1085859580405768
2019,Atlanta,organic,1127690,2190098.99,1.9421108549335369
2019,BaltimoreWashington,conventional,41327218,59458690.4,1.4387295655855663
2019,BaltimoreWashington,organic,2500305,4149015.06,1.6594035767636348
2019,Boise,conventional,4937013,6873850.18,1.3923095158955425
2019,Boise,organic,176409,364306.05,2.0651216774654353
2019,Boston,conventional,29454335,42759013.29,1.4517052681719007
2019,Boston,organic,1033573,2047318.77,1.980816807327591
2019,BuffaloRochester,conventional,8086839,10611808.24,1.3122319165745726
2019,BuffaloRochester,organic,541651,919015.17,1.6966924643358916
2019,Charlotte,conventional,13999866,17970253.4,1.2836018144745098
2019,Charlotte,organic,794376,1341608.44,1.688883400304138
2019,Chicago,conventional,36542040,51716696.339999996,1.415265714229419
2019,Chicago,organic,2232939,3763196.04,1.6853107227738868
2019,CincinnatiDayton,conventional,14186627,16060851.05,1.1321120270519553
2019,CincinnatiDayton,organic,759391,1542393.28,2.031092388506053
2019,Columbus,conventional,11303562,12160165.530000001,1.0757817341117784
2019,Columbus,organic,470559,889825.3099999999,1.89099626189277
2019,DallasFtWorth,conventional,71777272,64442145.5,0.8978071150433246
2019,DallasFtWorth,organic,1372384,2045836.47,1.4907172263739594
2019,Denver,conventional,44577381,54438437.81,1.2212121167459344
2019,Denver,organic,1597343,2743513.24,1.717547978111151
2019,Detroit,conventional,21956190,25812395.45,1.1756318127143188
2019,Detroit,organic,799220,1480011.0,1.8518192737919472
2019,Grand Rapids,conventional,8186035,11968824.46,1.4621027713661132
2019,Grand Rapids,organic,304729,527071.97,1.7296416488092698
2019,HarrisburgScranton,conventional,14492229,17640006.98,1.2172045432072596
2019,HarrisburgScranton,organic,852019,1269485.15,1.4899728175075906
2019,HartfordSpringfield,conventional,15086624,21904593.76,1.4519215007943462
2019,HartfordSpringfield,organic,747347,1499829.05,2.0068710384868074
2019,Houston,conventional,56836075,49754855.88,0.8754097794402588
2019,Houston,organic,867256,1469133.14,1.6940017019196176
2019,Indianapolis,conventional,11475564,12700637.040000001,1.1067549307380449
2019,Indianapolis,organic,361268,674417.86,1.8668076331144745
2019,Jacksonville,conventional,9961010,11535033.48,1.1580184619832727
2019,Jacksonville,organic,336613,516544.19,1.5345342871487435
2019,Las Vegas,conventional,16652984,18871230.67,1.1332041554834857
2019,Las Vegas,organic,568423,1012663.28,1.7815311484581025
2019,Los Angeles,conventional,137299343,168441113.66,1.2268166036307981
2019,Los Angeles,organic,5075056,9068580.19,1.786892635273384
2019,Louisville,conventional,5605603,6481215.04,1.1562030061707902
2019,Louisville,organic,255004,493548.75,1.9354549340402503
2019,Nashville,conventional,12863377,13728315.0,1.0672403522030023
2019,Nashville,organic,540097,1041841.06,1.9289887927538942
2019,New Orleans,conventional,14914591,15377092.24,1.0310099847860394
2019,New Orleans,organic,344481,480170.15,1.3938944382999354
2019,New York,conventional,78678771,116983306.68,1.4868471532174798
2019,New York,organic,4820442,8853167.73,1.8365883730164165
2019,Orlando,conventional,23318879,26171183.15,1.1223173785498006
2019,Orlando,organic,780880,1105433.86,1.4156257811699622
2019,Philadelphia,conventional,24531017,33260608.07,1.3558593216905765
2019,Philadelphia,organic,1620927,2556633.49,1.5772662741752097
2019,PhoenixTucson,conventional,59024685,54429345.910000004,0.9221454703231369
2019,PhoenixTucson,organic,1791571,2439440.48,1.3616208791055449
2019,Pittsburgh,conventional,5443514,6846102.79,1.2576623831591138
